,fdc_id,food,category,"Calcium, Ca","Carotene, beta",Cholesterol,"Choline, total",Energy,"Fiber, total dietary","Folate, total",Histidine,"Iron, Fe",Isoleucine,Leucine,Lysine,"Magnesium, Mg",Methionine,Niacin,PUFA 18:2,PUFA 18:3,Pantothenic acid,Phenylalanine,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Threonine,Total lipid (fat),Tryptophan,Valine,"Vitamin A, RAE",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin K (phylloquinone),"Zinc, Zn"
0,167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",Vegetables and Vegetable Products,3.789473684210526,6.5777777777777775,,,1.1071428571428572,18.0,6.571428571428571,4.0,44.833333333333336,4.857142857142857,4.029304029304028,4.333333333333333,24.0,2.9523809523809526,2.489177489177489,,,,5.6,5.818181818181818,10.228571428571428,3.2013769363166955,11.875,,21.916666666666668,5.357142857142857,6.761904761904761,0.15612244897959185,7.142857142857142,4.45054945054945,6.533333333333333,1.7647058823529411,3.1818181818181817,,1.7315980965374342
1,167604,"Potatoes, hash brown, refrigerated, unprepared",Vegetables and Vegetable Products,0.631578947368421,,0.0,3.625,3.0,7.2,,,2.6666666666666665,,,,5.428571428571429,,9.615800865800866,,,11.100000000000001,,12.727272727272727,12.142857142857142,3.0120481927710845,1.3749999999999998,4.142857142857143,1.75,2.4107142857142856,,0.07346938775510205,,,,15.117647058823529,4.454545454545455,0.5714285714285714,2.1226041183362097
2,167702,"Oil, flaxseed, cold pressed",Fats and Oils,0.10526315789473684,0.0,0.0,0.05,31.571428571428573,0.0,0.0,,0.0,,,,0.0,,0.0,179.0875,1334.2,,,0.18181818181818182,0.0,0.18932874354561102,0.0,0.0,0.0,0.0,,91.81836734693879,,,0.0,0.0,0.0,13.285714285714286,0.3910060217987755
3,167714,"Hearts of palm, raw",Vegetables and Vegetable Products,1.894736842105263,0.45555555555555555,0.0,0.0,4.107142857142857,6.0,6.857142857142857,,9.38888888888889,,,,2.857142857142857,,4.87012987012987,0.95,0.325,,,25.454545454545453,51.6,4.647160068846817,11.25,1.0,0.5833333333333334,4.4642857142857135,,0.18367346938775514,,,0.4,47.64705882352941,7.2727272727272725,0.0,20.835035161563322
4,167722,Tofu yogurt,Legumes and Legume Products,12.421052631578947,0.2222222222222222,0.0,12.1,3.357142857142857,0.8,1.7142857142857142,,5.888888888888889,,,,11.428571428571429,,1.2987012987012987,11.262500000000001,2.9000000000000004,,,6.909090909090909,1.3428571428571427,6.024096385542169,1.25,18.571428571428573,1.4583333333333333,5.357142857142857,,1.6530612244897962,,,0.26666666666666666,1.1764705882352942,2.272727272727273,5.0,1.7315980965374342
5,167737,"Oil, corn, peanut, and olive",Fats and Oils,0.0,0.0,0.0,0.05,31.571428571428573,0.0,0.0,,0.7222222222222222,,,,0.0,,0.0,407.9125,10.825,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,91.83673469387756,,,0.0,0.0,0.0,30.0,0.11171600622822156
6,167746,"Lemons, raw, without peel",Fruits and Fruit Juices,2.736842105263158,0.03333333333333333,0.0,1.275,1.0357142857142858,11.2,3.142857142857143,,3.3333333333333335,,,,2.2857142857142856,,0.5411255411255411,0.7875,0.65,3.8,,2.909090909090909,3.942857142857143,1.8932874354561107,1.25,0.5714285714285714,0.08333333333333333,3.571428571428571,,0.2755102040816327,,,0.13333333333333333,4.705882352941177,48.18181818181818,0.0,0.33514801868466465
7,167749,"Lemon peel, raw",Fruits and Fruit Juices,14.105263157894736,0.07777777777777778,0.0,2.125,1.6785714285714286,42.4,3.7142857142857144,,4.444444444444445,,,,4.285714285714286,,2.1645021645021645,0.7875,0.65,6.380000000000001,,2.1818181818181817,4.571428571428571,2.581755593803787,5.0,1.0,0.25,5.357142857142857,,0.2755102040816327,,,0.4,10.117647058823529,117.27272727272727,0.0,1.3964500778527695
8,167750,"Prickly pears, raw",Fruits and Fruit Juices,5.894736842105263,0.2777777777777778,0.0,,1.4642857142857142,14.4,1.7142857142857142,,1.6666666666666667,,,,24.285714285714285,,2.489177489177489,2.325,0.575,,,4.363636363636363,6.285714285714286,1.2564543889845097,3.75,0.8571428571428571,0.20833333333333334,1.25,,0.4683673469387756,,,0.26666666666666666,3.5294117647058822,12.727272727272727,,0.6702960373693293
9,167754,"Pummelo, raw",Fruits and Fruit Juices,0.42105263157894735,0.0,0.0,,1.3571428571428572,4.0,,,0.6111111111111112,,,,1.7142857142857142,,1.1904761904761905,,,,,3.090909090909091,6.171428571428572,1.3080895008605853,1.6875,,0.041666666666666664,3.0357142857142856,,0.036734693877551024,,,0.0,2.1176470588235294,55.45454545454545,,0.44686402491288624
