category,food,score,"Calcium, Ca","Carotene, beta","Choline, total","Fiber, total dietary","Folate, total","Iron, Fe","Magnesium, Mg",Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,"Vitamin A, RAE",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin K (phylloquinone),"Zinc, Zn"
Vegetables and Vegetable Products,"Beet greens, cooked, boiled, drained, with salt",6.729,12.000,51.000,10.625,11.600,4.000,10.556,19.429,2.700,6.580,7.455,25.971,4.423,18.062,1.286,19.875,10.446,51.067,7.765,22.636,691.429,2.793
Vegetables and Vegetable Products,"Chrysanthemum, garland, raw",6.463,12.316,15.333,,12.000,50.571,12.722,9.143,2.873,4.420,9.818,16.200,5.783,9.000,,4.917,11.607,15.467,10.353,1.273,500.000,3.966
Vegetables and Vegetable Products,"Jute, potherb, cooked, boiled, drained, with salt",6.458,22.211,34.567,3.200,8.000,29.714,17.444,17.714,4.816,1.440,13.091,15.714,6.334,12.000,1.286,10.292,8.125,34.533,33.529,30.000,154.286,4.413
Vegetables and Vegetable Products,"Broccoli, cooked, boiled, drained, with salt",6.423,4.211,10.322,10.025,13.200,30.857,3.722,6.000,2.992,12.320,12.182,8.371,4.096,7.688,2.286,10.917,5.625,10.267,11.765,59.000,201.571,2.514
Vegetables and Vegetable Products,"Lima beans, immature seeds, cooked, boiled, drained, with salt",6.418,3.368,2.467,11.025,21.200,7.429,13.611,21.143,5.628,5.140,23.636,16.286,11.721,6.000,2.857,10.542,12.500,2.533,11.353,9.182,8.857,4.413
Vegetables and Vegetable Products,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",6.261,16.105,80.411,6.200,14.800,34.571,10.889,23.429,2.376,1.500,9.091,8.629,6.902,11.000,7.857,13.417,6.964,80.400,8.000,2.000,772.429,2.737
Vegetables and Vegetable Products,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",6.180,13.474,5.278,8.225,20.000,36.286,6.222,14.857,7.592,3.080,9.273,11.943,5.456,9.250,3.571,10.000,9.018,5.333,3.824,2.000,,5.753
Vegetables and Vegetable Products,"Asparagus, cooked, boiled, drained, with salt",6.147,2.421,6.711,6.525,8.000,42.571,5.056,4.000,5.866,4.500,9.818,6.400,4.131,8.688,8.714,10.000,14.464,6.667,4.647,7.000,72.286,3.351
Vegetables and Vegetable Products,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",5.955,16.105,80.411,6.200,14.800,34.571,10.889,23.429,2.376,1.500,9.091,8.629,6.902,11.000,7.857,4.042,6.964,80.400,8.000,2.000,772.429,2.737
Vegetables and Vegetable Products,"Broccoli raab, raw",5.933,11.368,17.478,4.575,10.800,23.714,11.889,6.286,6.607,6.440,13.273,5.600,5.456,8.062,1.429,1.375,14.464,17.467,10.059,18.364,320.000,4.301
Vegetables and Vegetable Products,"Fireweed, leaves, raw",5.889,45.158,,,42.400,32.000,13.333,44.571,25.292,27.120,19.636,14.114,8.107,8.562,1.286,1.417,2.946,24.000,37.176,2.000,,14.858
Vegetables and Vegetable Products,"Peas, green, frozen, cooked, boiled, drained, with salt",5.871,2.526,13.889,6.875,18.000,16.857,8.444,6.286,8.009,2.840,14.000,3.143,8.864,6.250,1.429,13.458,25.268,14.000,6.647,9.000,34.286,3.742
Vegetables and Vegetable Products,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",5.865,6.211,8.444,5.250,12.400,10.000,13.333,8.000,3.047,17.140,10.545,6.200,6.024,7.437,1.143,10.042,5.714,8.800,10.235,20.000,43.143,2.737
Vegetables and Vegetable Products,"Coriander (cilantro) leaves, raw",5.743,7.053,43.667,3.200,11.200,17.714,9.833,7.429,6.028,11.400,8.727,14.886,3.666,10.125,1.286,1.917,5.982,44.933,8.765,24.545,442.857,2.793
Vegetables and Vegetable Products,"Spinach, raw",5.733,10.421,62.511,4.825,8.800,55.429,15.056,22.571,3.918,1.300,8.909,15.943,4.923,11.812,1.429,3.292,6.964,62.533,11.471,25.545,689.857,2.960
Vegetables and Vegetable Products,"Brussels sprouts, cooked, boiled, drained, with salt",5.703,3.789,5.167,10.150,10.400,17.143,6.667,5.714,3.285,5.040,10.182,9.057,4.389,5.000,2.143,10.708,9.554,5.200,10.471,56.364,200.429,1.843
Vegetables and Vegetable Products,"Soybeans, green, cooked, boiled, drained, with salt",5.657,15.263,,,16.800,31.714,13.889,17.143,6.764,2.560,28.727,15.400,21.256,9.688,2.000,10.417,23.214,1.067,3.529,15.455,,5.083
Vegetables and Vegetable Products,"Broccoli, cooked, boiled, drained, without salt",5.585,4.211,10.322,10.025,13.200,30.857,3.722,6.000,2.992,12.320,12.182,8.371,4.096,7.688,2.286,1.708,5.625,10.267,11.765,59.000,201.571,2.514
Vegetables and Vegetable Products,"Peas, green, frozen, cooked, boiled, drained, without salt",5.476,2.526,13.889,6.875,18.000,16.857,8.444,6.286,8.009,2.840,14.000,3.143,8.864,6.250,1.429,3.000,25.268,14.000,6.647,9.000,34.286,3.742
Vegetables and Vegetable Products,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",5.430,4.421,16.111,5.250,7.600,25.143,5.667,26.857,5.384,1.200,14.000,17.200,6.196,17.625,1.286,10.375,13.125,16.133,44.706,50.545,233.000,1.676
Vegetables and Vegetable Products,"Lambsquarters, raw",5.333,32.526,,,16.000,8.571,6.667,9.714,6.494,1.840,13.091,12.914,7.229,27.500,1.286,1.792,14.286,77.333,16.118,72.727,,2.458
Vegetables and Vegetable Products,"Broccoli, frozen, spears, cooked, boiled, drained, with salt",5.254,5.368,7.367,,12.000,8.571,3.389,5.714,2.478,5.480,10.000,5.143,5.336,5.062,2.714,10.833,4.911,7.467,7.647,36.455,142.143,1.676
